GlobalId,UUID,layer_index,layer_name,area_m2,volume_m3,co2_total
3bXiCStxP6Fgxdej$yc5T8,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,65.851,2.963,2419.219
3bXiCStxP6Fgxdej$yc503,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.179,0.143,116.775
3bXiCStxP6Fgxdej$yc50B,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.178,0.143,116.742
3bXiCStxP6Fgxdej$yc50U,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,3.367,0.152,123.705
3bXiCStxP6Fgxdej$yc50n,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,65.551,2.95,2408.224
3bXiCStxP6Fgxdej$yc52o,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.609,1.017,830.617
3bXiCStxP6Fgxdej$yc554,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.61,1.017,830.632
3bXiCStxP6Fgxdej$yc55E,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,6.736,0.303,247.449
3bXiCStxP6Fgxdej$yc55M,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,10.414,0.469,382.608
3bXiCStxP6Fgxdej$yc55U,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,6.736,0.303,247.449
3bXiCStxP6Fgxdej$yc55c,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,10.414,0.469,382.608
3bXiCStxP6Fgxdej$yc55k,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.61,1.017,830.652
3bXiCStxP6Fgxdej$yc55m,a71fef7d-c88a-4004-91a5-986a7a1d2871,1,layer_1,22.609,1.017,830.606
3bXiCStxP6Fgxdej$yc5T8,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,65.851,0.79,77.019
3bXiCStxP6Fgxdej$yc503,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.179,0.038,3.718
3bXiCStxP6Fgxdej$yc50B,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.179,0.038,3.718
3bXiCStxP6Fgxdej$yc50U,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,3.369,0.04,3.941
3bXiCStxP6Fgxdej$yc50n,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,65.551,0.787,76.669
3bXiCStxP6Fgxdej$yc52o,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.61,0.271,26.445
3bXiCStxP6Fgxdej$yc554,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.61,0.271,26.445
3bXiCStxP6Fgxdej$yc55E,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,6.736,0.081,7.878
3bXiCStxP6Fgxdej$yc55M,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,10.414,0.125,12.181
3bXiCStxP6Fgxdej$yc55U,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,6.736,0.081,7.878
3bXiCStxP6Fgxdej$yc55c,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,10.414,0.125,12.181
3bXiCStxP6Fgxdej$yc55k,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.61,0.271,26.444
3bXiCStxP6Fgxdej$yc55m,fbde9f28-e9d8-4300-9b21-dea035f5bc15,2,layer_2,22.609,0.271,26.443
2O2Fr$t4X7Zf8NOew3FK4F,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,69.473,8.823,2882.036
2O2Fr$t4X7Zf8NOew3FKcz,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,69.533,8.831,2884.549
